iter	Passed	Remaining
577	6443	10279
578	6454	10266
579	6463	10253
580	6474	10240
581	6484	10227
582	6494	10214
583	6504	10202
584	6514	10189
585	6524	10176
586	6534	10163
587	6544	10150
588	6554	10137
589	6564	10125
590	6574	10112
591	6584	10099
592	6594	10086
593	6604	10073
594	6614	10060
595	6624	10047
596	6634	10035
597	6645	10023
598	6655	10010
599	6665	9997
600	6675	9986
601	6685	9973
602	6696	9960
603	6706	9948
604	6716	9935
605	6726	9923
606	6736	9910
607	6746	9897
608	6756	9885
609	6766	9872
610	6776	9859
611	6786	9847
612	6796	9834
613	6806	9822
614	6816	9809
615	6827	9797
616	6837	9784
617	6846	9771
618	6857	9759
619	6867	9747
620	6878	9735
621	6888	9723
622	6898	9711
623	6908	9698
624	6918	9686
625	6929	9674
626	6940	9663
627	6950	9651
628	6960	9638
629	6970	9626
630	6980	9613
631	6990	9601
632	7001	9589
633	7010	9576
634	7021	9564
635	7031	9551
636	7040	9539
637	7051	9526
638	7061	9514
639	7071	9502
640	7081	9489
641	7091	9477
642	7101	9464
643	7111	9452
644	7121	9440
645	7131	9427
646	7142	9416
647	7152	9404
648	7162	9391
649	7172	9378
650	7181	9366
651	7192	9354
652	7202	9342
653	7212	9330
654	7222	9317
655	7232	9305
656	7242	9292
657	7252	9280
658	7262	9268
659	7272	9255
660	7282	9243
661	7292	9231
662	7302	9218
663	7312	9206
664	7322	9194
665	7332	9182
666	7343	9170
667	7352	9158
668	7363	9146
669	7373	9134
670	7383	9121
671	7393	9109
672	7403	9097
673	7413	9085
674	7423	9073
675	7433	9061
676	7443	9048
677	7454	9037
678	7464	9025
679	7473	9012
680	7483	9000
681	7494	8988
682	7504	8976
683	7514	8964
684	7524	8952
685	7534	8940
686	7544	8928
687	7554	8916
688	7564	8904
689	7574	8892
690	7584	8879
691	7594	8867
692	7604	8855
693	7614	8843
694	7625	8831
695	7634	8819
696	7645	8807
697	7655	8796
698	7665	8784
699	7675	8772
700	7685	8760
701	7696	8748
702	7705	8736
703	7715	8724
704	7725	8711
705	7735	8700
706	7745	8687
707	7755	8675
708	7766	8664
709	7776	8652
710	7786	8640
711	7796	8628
712	7806	8616
713	7816	8604
714	7826	8592
715	7835	8579
716	7845	8567
717	7855	8555
718	7865	8544
719	7875	8532
720	7885	8520
721	7895	8508
722	7906	8496
723	7916	8484
724	7926	8472
725	7936	8460
726	7946	8449
727	7956	8437
728	7966	8425
729	7976	8413
730	7986	8401
731	7996	8389
732	8006	8377
733	8016	8366
734	8026	8354
735	8036	8342
736	8046	8330
737	8056	8318
738	8066	8306
739	8076	8294
740	8086	8282
741	8096	8271
742	8106	8258
743	8116	8247
744	8125	8235
745	8135	8223
746	8145	8211
747	8156	8199
748	8166	8188
749	8176	8176
750	8186	8164
751	8196	8153
752	8206	8141
753	8216	8129
754	8226	8117
755	8236	8105
756	8246	8094
757	8257	8082
758	8267	8071
759	8276	8059
760	8286	8047
761	8296	8035
762	8306	8023
763	8316	8012
764	8326	8000
765	8336	7988
766	8347	7977
767	8357	7965
768	8367	7954
769	8377	7942
770	8387	7930
771	8397	7919
772	8407	7907
773	8418	7896
774	8428	7884
775	8438	7872
776	8448	7861
777	8458	7849
778	8468	7837
779	8478	7826
780	8488	7814
781	8498	7802
782	8508	7791
783	8518	7779
784	8528	7768
785	8538	7756
786	8548	7744
787	8558	7733
788	8568	7721
789	8578	7709
790	8588	7698
791	8598	7686
792	8608	7675
793	8618	7663
794	8628	7651
795	8638	7640
796	8648	7628
797	8659	7617
798	8669	7606
799	8679	7594
800	8689	7582
801	8699	7571
802	8709	7560
803	8719	7548
804	8729	7536
805	8739	7525
806	8749	7513
807	8759	7502
808	8769	7490
809	8779	7479
810	8789	7467
811	8800	7456
812	8810	7444
813	8820	7433
814	8830	7421
815	8839	7409
816	8849	7398
817	8859	7386
818	8869	7375
819	8879	7363
820	8889	7352
821	8899	7340
822	8910	7329
823	8920	7317
824	8930	7306
825	8940	7295
826	8950	7283
827	8960	7272
828	8970	7260
829	8980	7249
830	8990	7238
831	9000	7226
832	9010	7215
833	9020	7203
834	9030	7192
835	9040	7180
836	9050	7169
837	9060	7157
838	9070	7146
839	9080	7134
840	9090	7123
841	9100	7111
842	9110	7100
843	9120	7088
844	9130	7077
845	9140	7066
846	9150	7054
847	9160	7043
848	9170	7031
849	9181	7020
850	9191	7009
851	9201	6998
852	9211	6986
853	9221	6975
854	9230	6963
855	9240	6952
856	9250	6940
857	9260	6929
858	9270	6917
859	9280	6906
860	9290	6894
861	9300	6883
862	9310	6872
863	9321	6861
864	9331	6850
865	9341	6838
866	9351	6827
867	9361	6816
868	9372	6805
869	9383	6794
870	9393	6783
871	9404	6772
872	9414	6761
873	9424	6750
874	9434	6738
875	9444	6727
876	9454	6716
877	9464	6705
878	9474	6693
879	9484	6682
880	9494	6671
881	9505	6660
882	9515	6648
883	9525	6637
884	9535	6626
885	9545	6614
886	9555	6603
887	9565	6592
888	9575	6580
889	9585	6569
890	9595	6558
891	9605	6547
892	9615	6535
893	9625	6524
894	9635	6513
895	9645	6501
896	9655	6490
897	9665	6479
898	9675	6468
899	9685	6457
900	9695	6445
901	9705	6434
902	9715	6423
903	9725	6412
904	9736	6401
905	9746	6390
906	9756	6378
907	9766	6367
908	9775	6355
909	9785	6344
910	9795	6333
911	9805	6322
912	9815	6310
913	9825	6299
914	9835	6288
915	9845	6277
916	9855	6265
917	9865	6254
918	9875	6243
919	9885	6232
920	9895	6221
921	9905	6210
922	9916	6198
923	9926	6187
924	9936	6176
925	9946	6165
926	9957	6155
927	9967	6143
928	9978	6132
929	9988	6121
930	9998	6110
931	10008	6099
932	10018	6088
933	10028	6077
934	10038	6066
935	10048	6055
936	10058	6043
937	10069	6032
938	10078	6021
939	10089	6010
940	10099	5999
941	10109	5988
942	10119	5977
943	10129	5965
944	10139	5954
945	10149	5943
946	10159	5932
947	10169	5921
948	10179	5910
949	10189	5899
950	10200	5888
951	10211	5877
952	10221	5866
953	10231	5855
954	10241	5844
955	10251	5833
956	10261	5822
957	10271	5811
958	10281	5800
959	10291	5789
960	10301	5777
961	10311	5766
962	10321	5755
963	10331	5744
964	10341	5733
965	10351	5722
966	10361	5711
967	10372	5700
968	10382	5689
969	10392	5678
970	10402	5667
971	10413	5656
972	10423	5645
973	10433	5634
974	10443	5623
975	10453	5612
976	10463	5601
977	10473	5590
978	10483	5579
979	10493	5568
980	10504	5557
981	10514	5546
982	10524	5535
983	10534	5524
984	10544	5513
985	10554	5502
986	10564	5491
987	10574	5479
988	10584	5468
989	10594	5457
990	10604	5446
991	10614	5435
992	10624	5424
993	10634	5413
994	10644	5402
995	10654	5391
996	10664	5380
997	10674	5369
998	10684	5358
999	10694	5347
1000	10705	5336
1001	10714	5325
1002	10724	5314
1003	10734	5303
1004	10744	5292
1005	10755	5281
1006	10764	5270
1007	10774	5259
1008	10784	5248
1009	10794	5237
1010	10804	5226
1011	10814	5215
1012	10824	5203
1013	10835	5193
1014	10844	5182
1015	10854	5170
1016	10864	5159
1017	10874	5148
1018	10884	5137
1019	10895	5127
1020	10905	5116
1021	10915	5105
1022	10925	5094
1023	10935	5083
1024	10946	5072
1025	10956	5061
1026	10966	5050
1027	10976	5039
1028	10987	5029
1029	10996	5018
1030	11006	5007
1031	11016	4995
1032	11026	4984
1033	11037	4974
1034	11047	4963
1035	11056	4952
1036	11066	4941
1037	11076	4930
1038	11086	4919
1039	11096	4908
1040	11106	4897
1041	11116	4886
1042	11126	4875
1043	11136	4864
1044	11146	4853
1045	11156	4842
1046	11166	4831
1047	11176	4820
1048	11186	4809
1049	11197	4798
1050	11207	4787
1051	11217	4776
1052	11227	4766
1053	11237	4755
1054	11247	4744
1055	11257	4733
1056	11268	4722
1057	11277	4711
1058	11288	4700
1059	11298	4689
1060	11308	4678
1061	11318	4667
1062	11328	4656
1063	11338	4646
1064	11348	4635
1065	11358	4624
1066	11368	4613
1067	11378	4602
1068	11388	4591
1069	11398	4580
1070	11408	4569
1071	11418	4558
1072	11428	4547
1073	11438	4537
1074	11448	4526
1075	11458	4515
1076	11468	4504
1077	11478	4493
1078	11488	4482
1079	11498	4471
1080	11508	4460
1081	11518	4450
1082	11529	4439
1083	11538	4428
1084	11548	4417
1085	11559	4406
1086	11569	4395
1087	11578	4384
1088	11588	4373
1089	11598	4362
1090	11608	4351
1091	11618	4341
1092	11628	4330
1093	11638	4319
1094	11648	4308
1095	11658	4297
1096	11668	4286
1097	11678	4275
1098	11688	4264
1099	11698	4254
1100	11710	4243
1101	11720	4233
1102	11731	4222
1103	11741	4211
1104	11750	4200
1105	11761	4189
1106	11771	4178
1107	11780	4168
1108	11790	4157
1109	11800	4146
1110	11811	4135
1111	11820	4124
1112	11831	4113
1113	11841	4102
1114	11851	4092
1115	11861	4081
1116	11871	4070
1117	11880	4059
1118	11891	4048
1119	11901	4037
1120	11910	4026
1121	11920	4016
1122	11931	4005
1123	11941	3994
1124	11951	3983
1125	11961	3972
1126	11971	3962
1127	11981	3951
1128	11991	3940
1129	12001	3929
1130	12011	3918
1131	12021	3908
1132	12031	3897
1133	12041	3886
1134	12051	3875
1135	12061	3864
1136	12071	3853
1137	12081	3843
1138	12091	3832
1139	12101	3821
1140	12111	3810
1141	12121	3799
1142	12131	3789
1143	12141	3778
1144	12151	3767
1145	12161	3756
1146	12171	3745
1147	12181	3735
1148	12191	3724
1149	12201	3713
1150	12211	3702
1151	12221	3691
1152	12231	3681
1153	12242	3670
1154	12252	3659
1155	12262	3648
1156	12272	3638
1157	12282	3627
1158	12292	3616
1159	12302	3605
1160	12312	3595
1161	12322	3584
1162	12331	3573
1163	12341	3562
1164	12351	3551
1165	12361	3540
1166	12371	3530
1167	12382	3519
1168	12393	3509
1169	12402	3498
1170	12412	3487
1171	12423	3476
1172	12433	3466
1173	12443	3455
1174	12453	3444
1175	12462	3433
1176	12473	3422
1177	12482	3412
1178	12492	3401
1179	12503	3390
1180	12513	3380
1181	12523	3369
1182	12533	3358
1183	12543	3347
1184	12552	3336
1185	12563	3326
1186	12573	3315
1187	12583	3304
1188	12593	3293
1189	12603	3283
1190	12612	3272
1191	12622	3261
1192	12632	3250
1193	12642	3240
1194	12652	3229
1195	12662	3218
1196	12673	3208
1197	12683	3197
1198	12693	3186
1199	12703	3175
1200	12713	3165
1201	12723	3154
1202	12733	3143
1203	12743	3132
1204	12753	3122
1205	12763	3111
1206	12773	3100
1207	12783	3089
1208	12793	3079
1209	12803	3068
1210	12813	3057
1211	12823	3047
1212	12833	3036
1213	12843	3025
1214	12853	3014
1215	12863	3004
1216	12873	2993
1217	12883	2982
1218	12893	2972
1219	12903	2961
1220	12912	2950
1221	12923	2939
1222	12933	2929
1223	12943	2918
1224	12953	2907
1225	12963	2897
1226	12974	2886
1227	12985	2876
1228	12995	2865
1229	13005	2854
1230	13015	2844
1231	13025	2833
1232	13035	2822
1233	13045	2812
1234	13055	2801
1235	13065	2790
1236	13076	2780
1237	13085	2769
1238	13096	2758
1239	13105	2747
1240	13116	2737
1241	13126	2726
1242	13136	2716
1243	13146	2705
1244	13156	2694
1245	13166	2683
1246	13176	2673
1247	13186	2662
1248	13196	2651
1249	13206	2641
1250	13216	2630
1251	13226	2619
1252	13237	2609
1253	13247	2598
1254	13257	2588
1255	13267	2577
1256	13277	2566
1257	13287	2556
1258	13297	2545
1259	13307	2534
1260	13317	2524
1261	13327	2513
1262	13337	2502
1263	13347	2492
1264	13357	2481
1265	13367	2470
1266	13377	2460
1267	13388	2449
1268	13398	2439
1269	13408	2428
1270	13418	2417
1271	13428	2407
1272	13438	2396
1273	13448	2385
1274	13459	2375
1275	13469	2364
1276	13479	2353
1277	13489	2343
1278	13499	2332
1279	13509	2321
1280	13519	2311
1281	13529	2300
1282	13539	2290
1283	13549	2279
1284	13559	2268
1285	13569	2258
1286	13579	2247
1287	13589	2236
1288	13599	2226
1289	13609	2215
1290	13619	2204
1291	13630	2194
1292	13639	2183
1293	13649	2173
1294	13660	2162
1295	13670	2151
1296	13680	2141
1297	13690	2130
1298	13699	2119
1299	13710	2109
1300	13719	2098
1301	13729	2087
1302	13740	2077
1303	13750	2066
1304	13760	2056
1305	13770	2045
1306	13780	2034
1307	13790	2024
1308	13800	2013
1309	13810	2003
1310	13820	1992
1311	13830	1981
1312	13840	1971
1313	13850	1960
1314	13860	1949
1315	13870	1939
1316	13880	1928
1317	13890	1918
1318	13900	1907
1319	13910	1896
1320	13919	1886
1321	13929	1875
1322	13939	1864
1323	13949	1854
1324	13960	1843
1325	13970	1833
1326	13979	1822
1327	13990	1811
1328	14000	1801
1329	14010	1790
1330	14020	1780
1331	14030	1769
1332	14039	1758
1333	14049	1748
1334	14059	1737
1335	14069	1727
1336	14079	1716
1337	14089	1705
1338	14099	1695
1339	14109	1684
1340	14119	1674
1341	14129	1663
1342	14139	1652
1343	14149	1642
1344	14159	1631
1345	14169	1621
1346	14179	1610
1347	14189	1599
1348	14199	1589
1349	14208	1578
1350	14218	1568
1351	14228	1557
1352	14238	1546
1353	14248	1536
1354	14259	1525
1355	14269	1515
1356	14279	1504
1357	14289	1494
1358	14299	1483
1359	14308	1472
1360	14319	1462
1361	14328	1451
1362	14338	1441
1363	14348	1430
1364	14359	1420
1365	14368	1409
1366	14379	1398
1367	14389	1388
1368	14398	1377
1369	14409	1367
1370	14420	1356
1371	14429	1346
1372	14440	1335
1373	14450	1325
1374	14460	1314
1375	14470	1303
1376	14480	1293
1377	14490	1282
1378	14500	1272
1379	14510	1261
1380	14520	1251
1381	14530	1240
1382	14540	1230
1383	14550	1219
1384	14560	1208
1385	14570	1198
1386	14580	1187
1387	14590	1177
1388	14600	1166
1389	14610	1156
1390	14620	1145
1391	14629	1135
1392	14639	1124
1393	14649	1113
1394	14659	1103
1395	14669	1092
1396	14679	1082
1397	14690	1071
1398	14699	1061
1399	14709	1050
1400	14719	1040
1401	14729	1029
1402	14739	1019
1403	14749	1008
1404	14760	998
1405	14770	987
1406	14780	976
1407	14790	966
1408	14800	955
1409	14810	945
1410	14820	934
1411	14829	924
1412	14839	913
1413	14849	903
1414	14860	892
1415	14869	882
1416	14879	871
1417	14889	861
1418	14900	850
1419	14909	839
1420	14919	829
1421	14929	818
1422	14939	808
1423	14949	797
1424	14959	787
1425	14969	776
1426	14979	766
1427	14989	755
1428	14999	745
1429	15009	734
1430	15019	724
1431	15029	713
1432	15039	703
1433	15049	692
1434	15059	682
1435	15069	671
1436	15079	661
1437	15089	650
1438	15099	640
1439	15109	629
1440	15119	619
1441	15129	608
1442	15139	598
1443	15149	587
1444	15159	577
1445	15169	566
1446	15179	555
1447	15188	545
1448	15199	534
1449	15208	524
1450	15218	513
1451	15228	503
1452	15238	492
1453	15248	482
1454	15259	471
1455	15269	461
1456	15279	450
1457	15289	440
1458	15298	429
1459	15309	419
1460	15319	408
1461	15328	398
1462	15338	387
1463	15349	377
1464	15359	366
1465	15369	356
1466	15379	345
1467	15389	335
1468	15399	324
1469	15409	314
1470	15421	304
1471	15431	293
1472	15442	283
1473	15452	272
1474	15462	262
1475	15472	251
1476	15482	241
1477	15492	230
1478	15502	220
1479	15512	209
1480	15522	199
1481	15532	188
1482	15542	178
1483	15553	167
1484	15563	157
1485	15573	146
1486	15583	136
1487	15593	125
1488	15603	115
1489	15613	104
1490	15623	94
1491	15633	83
1492	15643	73
1493	15653	62
1494	15662	52
1495	15672	41
1496	15682	31
1497	15692	20
1498	15702	10
1499	15712	0
